chromosome,read interval,reads,length of read,result,status
chr1,"(3236706, 3236719)",1,13,['MinDist3:64358'],['F3']
chr1,"(3237669, 3237680)",3,11,['MinDist3:65321'],['F3']
chr1,"(3239424, 3239434)",1,10,['MinDist3:67076'],['F3']
chr1,"(3239657, 3239672)",2,15,['MinDist3:67309'],['F3']
chr1,"(3240713, 3240726)",2,13,['MinDist3:68365'],['F3']
chr1,"(3241029, 3241052)",1,23,['MinDist3:68681'],['F3']
chr1,"(3244389, 3244399)",2,10,['MinDist3:72041'],['F3']
chr1,"(3246950, 3246963)",1,13,['MinDist3:74602'],['F3']
chr1,"(3248375, 3248399)",1,24,['MinDist5:74580'],['F5']
chr1,"(3250582, 3250593)",1,11,['MinDist5:72386'],['F5']
chr1,"(3251629, 3251639)",1,10,['MinDist5:71340'],['F5']
chr1,"(3252235, 3252248)",1,13,['MinDist5:70731'],['F5']
chr1,"(3253035, 3253045)",2,10,['MinDist5:69934'],['F5']
chr1,"(3254166, 3254176)",1,10,['MinDist5:68803'],['F5']
chr1,"(3255311, 3255325)",1,14,['MinDist5:67654'],['F5']
chr1,"(3256586, 3256597)",5,11,['MinDist5:66382'],['F5']
chr1,"(3258671, 3258682)",2,11,['MinDist5:64297'],['F5']
chr1,"(3260060, 3260073)",1,13,['MinDist5:62906'],['F5']
chr1,"(3260969, 3260980)",6,11,['MinDist5:61999'],['F5']
chr1,"(3261597, 3261611)",2,14,['MinDist5:61368'],['F5']
chr1,"(3261685, 3261700)",1,15,['MinDist5:61279'],['F5']
chr1,"(3261729, 3261741)",1,12,['MinDist5:61238'],['F5']
chr1,"(3262541, 3262554)",1,13,['MinDist5:60425'],['F5']
chr1,"(3263603, 3263615)",1,12,['MinDist5:59364'],['F5']
chr1,"(3263778, 3263788)",1,10,['MinDist5:59191'],['F5']
chr1,"(3264266, 3264278)",1,12,['MinDist5:58701'],['F5']
chr1,"(3264453, 3264463)",1,10,['MinDist5:58516'],['F5']
chr1,"(3265156, 3265170)",1,14,['MinDist5:57809'],['F5']
chr1,"(3265293, 3265305)",1,12,['MinDist5:57674'],['F5']
chr1,"(3266872, 3266885)",2,13,['MinDist5:56094'],['F5']
chr1,"(3267834, 3267844)",1,10,['MinDist5:55135'],['F5']
chr1,"(3268433, 3268446)",1,13,['MinDist5:54533'],['F5']
chr1,"(3268638, 3268649)",1,11,['MinDist5:54330'],['F5']
chr1,"(3270306, 3270318)",1,12,['MinDist5:52661'],['F5']
chr1,"(3270779, 3270791)",1,12,['MinDist5:52188'],['F5']
chr1,"(3271005, 3271023)",2,18,['MinDist5:51956'],['F5']
chr1,"(3272380, 3272392)",1,12,['MinDist5:50587'],['F5']
chr1,"(3272926, 3272952)",2,26,['MinDist5:50027'],['F5']
chr1,"(3273725, 3273742)",2,17,['MinDist5:49237'],['F5']
chr1,"(3273795, 3273818)",1,23,['MinDist5:49161'],['F5']
chr1,"(3275058, 3275078)",2,20,['MinDist5:47901'],['F5']
chr1,"(3275155, 3275183)",1,28,['MinDist5:47796'],['F5']
chr1,"(3276031, 3276059)",1,28,['MinDist5:46920'],['F5']
chr1,"(3276192, 3276220)",1,28,['MinDist5:46759'],['F5']
chr1,"(3276434, 3276460)",1,26,['MinDist5:46519'],['F5']
chr1,"(3277080, 3277105)",1,25,['MinDist5:45874'],['F5']
chr1,"(3277424, 3277446)",2,22,['MinDist5:45533'],['F5']
chr1,"(3277813, 3277823)",3,10,['MinDist5:45156'],['F5']
chr1,"(3278548, 3278561)",1,13,['MinDist5:44418'],['F5']
chr1,"(3279665, 3279691)",1,26,['MinDist5:43288'],['F5']
chr1,"(3279702, 3279730)",1,28,['MinDist5:43249'],['F5']
chr1,"(3279862, 3279875)",1,13,['MinDist5:43104'],['F5']
chr1,"(3281039, 3281067)",1,28,['MinDist5:41912'],['F5']
chr1,"(3281234, 3281249)",1,15,['MinDist5:41730'],['F5']
chr1,"(3282112, 3282140)",1,28,['MinDist5:40839'],['F5']
chr1,"(3282279, 3282293)",1,14,['MinDist5:40686'],['F5']
chr1,"(3282419, 3282431)",1,12,['MinDist5:40548'],['F5']
chr1,"(3282459, 3282471)",1,12,['MinDist5:40508'],['F5']
chr1,"(3282517, 3282528)",3,11,['MinDist5:40451'],['F5']
chr1,"(3282595, 3282617)",2,22,['MinDist5:40362'],['F5']
chr1,"(3282736, 3282747)",1,11,['MinDist5:40232'],['F5']
chr1,"(3283140, 3283155)",1,15,['MinDist5:39824'],['F5']
chr1,"(3285603, 3285631)",1,28,['MinDist5:37348'],['F5']
chr1,"(3286921, 3286944)",1,23,['MinDist5:36035'],['F5']
chr1,"(3286933, 3286949)",1,16,['MinDist5:36030'],['F5']
chr1,"(3287002, 3287026)",1,24,['MinDist5:35953'],['F5']
chr1,"(3287603, 3287617)",1,14,['MinDist5:35362'],['F5']
chr1,"(3289726, 3289738)",1,12,['MinDist5:33241'],['F5']
chr1,"(3290556, 3290566)",2,10,['MinDist5:32413'],['F5']
chr1,"(3291382, 3291393)",2,11,['MinDist5:31586'],['F5']
chr1,"(3291675, 3291691)",1,16,['MinDist5:31288'],['F5']
chr1,"(3292254, 3292266)",1,12,['MinDist5:30713'],['F5']
chr1,"(3293016, 3293040)",1,24,['MinDist5:29939'],['F5']
chr1,"(3296213, 3296241)",1,28,['MinDist5:26738'],['F5']
chr1,"(3296243, 3296255)",1,12,['MinDist5:26724'],['F5']
chr1,"(3298465, 3298480)",1,15,['MinDist5:24499'],['F5']
chr1,"(3298719, 3298732)",1,13,['MinDist5:24247'],['F5']
chr1,"(3299514, 3299527)",1,13,['MinDist5:23452'],['F5']
chr1,"(3300071, 3300095)",1,24,['MinDist5:22884'],['F5']
chr1,"(3302335, 3302349)",1,14,['MinDist5:20630'],['F5']
chr1,"(3302539, 3302553)",3,14,['MinDist5:20426'],['F5']
chr1,"(3303742, 3303754)",1,12,['MinDist5:19225'],['F5']
chr1,"(3304558, 3304569)",1,11,['MinDist5:18410'],['F5']
chr1,"(3305247, 3305258)",5,11,['MinDist5:17721'],['F5']
chr1,"(3307817, 3307830)",1,13,['MinDist5:15149'],['F5']
chr1,"(3311693, 3311717)",1,24,['MinDist5:11262'],['F5']
chr1,"(3311766, 3311775)",1,9,['MinDist5:11204'],['F5']
chr1,"(3314870, 3314883)",1,13,['MinDist5:8096'],['F5']
chr1,"(3317002, 3317012)",1,10,['MinDist5:5967'],['F5']
chr1,"(3317362, 3317372)",1,10,['MinDist5:5607'],['F5']
chr1,"(3317894, 3317904)",1,10,['MinDist5:5075'],['F5']
chr1,"(3319458, 3319469)",1,11,['MinDist5:3510'],['F5']
chr1,"(3319547, 3319558)",1,11,['MinDist5:3421'],['F5']
chr1,"(3320019, 3320041)",1,22,['MinDist5:2938'],['F5']
chr1,"(3320112, 3320123)",1,11,['MinDist5:2856'],['F5']
chr1,"(3320260, 3320278)",1,18,['MinDist5:2701'],['F5']
chr1,"(3320449, 3320462)",2,13,['MinDist5:2517'],['F5']
chr1,"(3320665, 3320688)",1,23,['MinDist5:2291'],['F5']
chr1,"(3321490, 3321515)",1,25,['MinDist5:1464'],['F5']
chr1,"(3321912, 3321925)",3,13,['MinDist5:1054'],['F5']
chr1,"(3323025, 3323038)",2,13,['Gm18956-201'],['A']
chr1,"(3323338, 3323347)",1,9,['Gm18956-201'],['A']
chr1,"(3323720, 3323730)",1,10,['MinDist3:261'],['3T']
chr1,"(3324095, 3324106)",1,11,['MinDist3:636'],['F3']
chr1,"(3324409, 3324437)",1,28,['MinDist3:950'],['F3']
chr1,"(3324635, 3324653)",1,18,['MinDist3:1176'],['F3']
chr1,"(3324696, 3324720)",1,24,['MinDist3:1237'],['F3']
chr1,"(3325109, 3325126)",1,17,['MinDist3:1650'],['F3']
chr1,"(3326562, 3326572)",1,10,['MinDist3:3103'],['F3']
chr1,"(3326851, 3326864)",2,13,['MinDist3:3392'],['F3']
chr1,"(3327186, 3327198)",2,12,['MinDist3:3727'],['F3']
chr1,"(3327340, 3327350)",1,10,['MinDist3:3881'],['F3']
chr1,"(3327625, 3327636)",2,11,['MinDist3:4166'],['F3']
chr1,"(3328069, 3328082)",1,13,['MinDist3:4610'],['F3']
chr1,"(3331051, 3331064)",1,13,['MinDist3:7592'],['F3']
chr1,"(3332232, 3332245)",1,13,['MinDist3:8773'],['F3']
chr1,"(3333977, 3333988)",1,11,['MinDist3:10518'],['F3']
chr1,"(3334326, 3334339)",7,13,['MinDist3:10867'],['F3']
chr1,"(3334326, 3334351)",1,25,['MinDist3:10867'],['F3']
chr1,"(3334957, 3334967)",1,10,['MinDist3:11498'],['F3']
chr1,"(3335444, 3335457)",1,13,['MinDist3:11985'],['F3']
chr1,"(3335702, 3335713)",2,11,['MinDist3:12243'],['F3']
chr1,"(3336487, 3336499)",1,12,['MinDist3:13028'],['F3']
chr1,"(3336670, 3336682)",1,12,['MinDist3:13211'],['F3']
chr1,"(3337245, 3337273)",1,28,['MinDist3:13786'],['F3']
chr1,"(3337902, 3337915)",1,13,['MinDist3:14443'],['F3']
chr1,"(3339500, 3339513)",1,13,['MinDist3:16041'],['F3']
chr1,"(3339688, 3339699)",1,11,['MinDist3:16229'],['F3']
chr1,"(3340875, 3340885)",1,10,['MinDist3:17416'],['F3']
chr1,"(3341430, 3341441)",2,11,['MinDist3:17971'],['F3']
chr1,"(3345613, 3345623)",1,10,['MinDist3:22154'],['F3']
chr1,"(3346071, 3514612)",1,168541,[],['S']
chr1,"(3346445, 3346457)",6,12,['MinDist3:22986'],['F3']
chr1,"(3346519, 3346539)",1,20,['MinDist3:23060'],['F3']
chr1,"(3347387, 3347398)",1,11,['MinDist3:23928'],['F3']
chr1,"(3347795, 3347813)",1,18,['MinDist3:24336'],['F3']
chr1,"(3349208, 3349221)",1,13,['MinDist3:25749'],['F3']
chr1,"(3349379, 3349390)",1,11,['MinDist3:25920'],['F3']
chr1,"(3350416, 3350437)",1,21,['MinDist3:26957'],['F3']
chr1,"(3353554, 3353565)",1,11,['MinDist3:30095'],['F3']
chr1,"(3353603, 3353618)",1,15,['MinDist3:30144'],['F3']
chr1,"(3353927, 3353939)",1,12,['MinDist3:30468'],['F3']
chr1,"(3354031, 3354059)",1,28,['MinDist3:30572'],['F3']
chr1,"(3354902, 3354930)",1,28,['MinDist3:31443'],['F3']
chr1,"(3356052, 3356080)",2,28,['MinDist3:32593'],['F3']
chr1,"(3357106, 3357119)",1,13,['MinDist3:33647'],['F3']
chr1,"(3358011, 3358032)",1,21,['MinDist3:34552'],['F3']
chr1,"(3358112, 3358123)",2,11,['MinDist3:34653'],['F3']
chr1,"(3358359, 3358367)",1,8,['MinDist3:34900'],['F3']
chr1,"(3359350, 3359360)",1,10,['MinDist3:35891'],['F3']
chr1,"(3360426, 3360440)",1,14,['MinDist3:36967'],['F3']
chr1,"(3360435, 3360446)",3,11,['MinDist3:36976'],['F3']
chr1,"(3360704, 3360732)",1,28,['MinDist3:37245'],['F3']
chr1,"(3360932, 3360942)",2,10,['MinDist3:37473'],['F3']
chr1,"(3363420, 3363438)",1,18,['MinDist3:39961'],['F3']
chr1,"(3363680, 3363692)",1,12,['MinDist3:40221'],['F3']
chr1,"(3364990, 3365001)",1,11,['MinDist3:41531'],['F3']
chr1,"(3365754, 3365766)",2,12,['MinDist3:42295'],['F3']
chr1,"(3365866, 3365877)",1,11,['MinDist3:42407'],['F3']
chr1,"(3366236, 3366248)",1,12,['MinDist3:42777'],['F3']
chr1,"(3367724, 3367749)",1,25,['MinDist3:44265'],['F3']
chr1,"(3368797, 3368823)",2,26,['MinDist3:45338'],['F3']
chr1,"(3369181, 3369209)",1,28,['MinDist3:45722'],['F3']
chr1,"(3369252, 3369263)",1,11,['MinDist3:45793'],['F3']
chr1,"(3370401, 3370412)",1,11,['MinDist3:46942'],['F3']
chr1,"(3370404, 3370422)",2,18,['MinDist3:46945'],['F3']
chr1,"(3370549, 3370560)",1,11,['MinDist3:47090'],['F3']
chr1,"(3371255, 3371268)",1,13,['MinDist3:47796'],['F3']
chr1,"(3373191, 3373214)",1,23,['MinDist3:49732'],['F3']
chr1,"(3373589, 3373600)",2,11,['MinDist3:50130'],['F3']
chr1,"(3373589, 3373602)",1,13,['MinDist3:50130'],['F3']
chr1,"(3374037, 3374048)",1,11,['MinDist3:50578'],['F3']
chr1,"(3379939, 3379950)",3,11,['MinDist3:56480'],['F3']
chr1,"(3380387, 3380415)",1,28,['MinDist3:56928'],['F3']
chr1,"(3380400, 3380415)",2,15,['MinDist3:56941'],['F3']
chr1,"(3381410, 3381421)",1,11,['MinDist3:57951'],['F3']
chr1,"(3381643, 3381666)",1,23,['MinDist3:58184'],['F3']
chr1,"(3382149, 3382163)",4,14,['MinDist3:58690'],['F3']
chr1,"(3382831, 3382859)",1,28,['MinDist3:59372'],['F3']
chr1,"(3383118, 3383128)",1,10,['MinDist3:59659'],['F3']
chr1,"(3384221, 3384237)",5,16,['MinDist3:60762'],['F3']
chr1,"(3384413, 3384426)",1,13,['MinDist3:60954'],['F3']
chr1,"(3384792, 3384812)",1,20,['MinDist3:61333'],['F3']
chr1,"(3388267, 3388278)",1,11,['MinDist3:64808'],['F3']
chr1,"(3388643, 3388653)",1,10,['MinDist3:65184'],['F3']
chr1,"(3389125, 3389137)",2,12,['MinDist3:65666'],['F3']
chr1,"(3389159, 3389187)",1,28,['MinDist3:65700'],['F3']
chr1,"(3389755, 3389783)",1,28,['MinDist3:66296'],['F3']
chr1,"(3390971, 3390982)",3,11,['MinDist3:67512'],['F3']
chr1,"(3391054, 3391067)",2,13,['MinDist3:67595'],['F3']
chr1,"(3391175, 3391201)",1,26,['MinDist3:67716'],['F3']
chr1,"(3391580, 3391598)",2,18,['MinDist3:68121'],['F3']
chr1,"(3391651, 3391662)",1,11,['MinDist3:68192'],['F3']
chr1,"(3392170, 3392182)",1,12,['MinDist3:68711'],['F3']
chr1,"(3392342, 3392354)",1,12,['MinDist3:68883'],['F3']
chr1,"(3393471, 3393482)",1,11,['MinDist3:70012'],['F3']
chr1,"(3394895, 3394923)",1,28,['MinDist3:71436'],['F3']
chr1,"(3395107, 3395130)",2,23,['MinDist3:71648'],['F3']
chr1,"(3396838, 3396849)",1,11,['MinDist3:73379'],['F3']
chr1,"(3397117, 3397135)",1,18,['MinDist3:73658'],['F3']
chr1,"(3397836, 3397864)",1,28,['MinDist3:74377'],['F3']
chr1,"(3399664, 3399692)",1,28,['MinDist3:76205'],['F3']
chr1,"(3400540, 3400550)",1,10,['MinDist3:77081'],['F3']
chr1,"(3402081, 3402096)",1,15,['MinDist3:78622'],['F3']
chr1,"(3402346, 3402356)",1,10,['MinDist3:78887'],['F3']
chr1,"(3402528, 3402541)",1,13,['MinDist3:79069'],['F3']
chr1,"(3402676, 3402694)",1,18,['MinDist3:79217'],['F3']
chr1,"(3403037, 3403048)",1,11,['MinDist3:79578'],['F3']
chr1,"(3403262, 3403272)",1,10,['MinDist3:79803'],['F3']
chr1,"(3404171, 3404182)",1,11,['MinDist3:80712'],['F3']
chr1,"(3404179, 3404203)",1,24,['MinDist3:80720'],['F3']
chr1,"(3404363, 3404374)",1,11,['MinDist3:80904'],['F3']
chr1,"(3405392, 3405407)",4,15,['MinDist3:81933'],['F3']
chr1,"(3405565, 3405577)",4,12,['MinDist3:82106'],['F3']
chr1,"(3407347, 3407358)",1,11,['MinDist3:83888'],['F3']
chr1,"(3407772, 3407782)",1,10,['MinDist3:84313'],['F3']
chr1,"(3408792, 3408804)",1,12,['MinDist3:85333'],['F3']
chr1,"(3410093, 3410104)",1,11,['MinDist3:86634'],['F3']
chr1,"(3410610, 3410620)",1,10,['MinDist3:87151'],['F3']
chr1,"(3410662, 3410675)",1,13,['MinDist3:87203'],['F3']
chr1,"(3411392, 3411403)",1,11,['MinDist3:87933'],['F3']
chr1,"(3411411, 3411431)",1,20,['MinDist3:87952'],['F3']
chr1,"(3411557, 3411568)",1,11,['MinDist3:88098'],['F3']
chr1,"(3414298, 3414318)",1,20,['MinDist3:90839'],['F3']
chr1,"(3416437, 3416465)",1,28,['MinDist3:92978'],['F3']
chr1,"(3416462, 3416474)",1,12,['MinDist3:93003'],['F3']
chr1,"(3416954, 3416966)",10,12,['MinDist3:93495'],['F3']
chr1,"(3421047, 3421075)",1,28,['MinDist3:97588'],['F3']
chr1,"(3421356, 3421370)",1,14,['MinDist3:97897'],['F3']
chr1,"(3421849, 3421872)",1,23,['MinDist3:98390'],['F3']
chr1,"(3421950, 3421962)",4,12,['MinDist3:98491'],['F3']
chr1,"(3422618, 3422629)",3,11,['MinDist3:99159'],['F3']
chr1,"(3422646, 3422673)",3,27,['MinDist3:99187'],['F3']
chr1,"(3422756, 3422767)",1,11,['MinDist3:99297'],['F3']
chr1,"(3422960, 3422970)",1,10,['MinDist3:99501'],['F3']
chr1,"(3423669, 3423679)",1,10,['MinDist3:100210'],['F3']
chr1,"(3423703, 3423716)",1,13,['MinDist3:100244'],['F3']
chr1,"(3423869, 3423880)",1,11,['MinDist3:100410'],['F3']
chr1,"(3424405, 3424433)",1,28,['MinDist3:100946'],['F3']
chr1,"(3425082, 3425105)",3,23,['MinDist3:101623'],['F3']
chr1,"(3425381, 3425394)",1,13,['MinDist3:101922'],['F3']
chr1,"(3425552, 3425563)",2,11,['MinDist3:102093'],['F3']
chr1,"(3425702, 3425723)",1,21,['MinDist3:102243'],['F3']
chr1,"(3426363, 3426381)",1,18,['MinDist3:102904'],['F3']
chr1,"(3426438, 3426464)",1,26,['MinDist3:102979'],['F3']
chr1,"(3426442, 3426470)",1,28,['MinDist3:102983'],['F3']
chr1,"(3426554, 3426571)",1,17,['MinDist3:103095'],['F3']
chr1,"(3427027, 3427042)",1,15,['MinDist3:103568'],['F3']
chr1,"(3427135, 3427148)",3,13,['MinDist3:103676'],['F3']
chr1,"(3427487, 3427515)",1,28,['MinDist3:104028'],['F3']
chr1,"(3427601, 3427625)",1,24,['MinDist3:104142'],['F3']
chr1,"(3428092, 3428103)",1,11,['MinDist3:104633'],['F3']
chr1,"(3429959, 3429976)",3,17,['MinDist3:106500'],['F3']
chr1,"(3432016, 3432044)",1,28,['MinDist5:104765'],['F5']
chr1,"(3432256, 3432268)",2,12,['MinDist5:104541'],['F5']
chr1,"(3433028, 3433038)",1,10,['MinDist5:103771'],['F5']
chr1,"(3433452, 3433464)",1,12,['MinDist5:103345'],['F5']
chr1,"(3433804, 3433831)",1,27,['MinDist5:102978'],['F5']
chr1,"(3434147, 3434164)",1,17,['MinDist5:102645'],['F5']
chr1,"(3435198, 3435220)",1,22,['MinDist5:101589'],['F5']
chr1,"(3435989, 3436013)",1,24,['MinDist5:100796'],['F5']
chr1,"(3436275, 3436286)",1,11,['MinDist5:100523'],['F5']
chr1,"(3436707, 3436735)",2,28,['MinDist5:100074'],['F5']
chr1,"(3436861, 3436889)",1,28,['MinDist5:99920'],['F5']
chr1,"(3437106, 3437118)",1,12,['MinDist5:99691'],['F5']
chr1,"(3437458, 3437482)",1,24,['MinDist5:99327'],['F5']
chr1,"(3438524, 3438534)",1,10,['MinDist5:98275'],['F5']
chr1,"(3439386, 3439399)",3,13,['MinDist5:97410'],['F5']
chr1,"(3439958, 3439982)",1,24,['MinDist5:96827'],['F5']
chr1,"(3440465, 3440475)",2,10,['MinDist5:96334'],['F5']
chr1,"(3441416, 3441431)",1,15,['MinDist5:95378'],['F5']
chr1,"(3442248, 3442271)",1,23,['MinDist5:94538'],['F5']
chr1,"(3442448, 3442460)",1,12,['MinDist5:94349'],['F5']
chr1,"(3442938, 3442952)",1,14,['MinDist5:93857'],['F5']
chr1,"(3442952, 3442980)",2,28,['MinDist5:93829'],['F5']
chr1,"(3443049, 3443062)",1,13,['MinDist5:93747'],['F5']
chr1,"(3443876, 3443904)",1,28,['MinDist5:92905'],['F5']
chr1,"(3444257, 3444268)",1,11,['MinDist5:92541'],['F5']
chr1,"(3444351, 3444363)",1,12,['MinDist5:92446'],['F5']
chr1,"(3444457, 3444471)",1,14,['MinDist5:92338'],['F5']
chr1,"(3444830, 3444844)",2,14,['MinDist5:91965'],['F5']
chr1,"(3444859, 3444869)",2,10,['MinDist5:91940'],['F5']
chr1,"(3445344, 3445372)",1,28,['MinDist5:91437'],['F5']
chr1,"(3446529, 3446556)",1,27,['MinDist5:90253'],['F5']
chr1,"(3446597, 3446617)",1,20,['MinDist5:90192'],['F5']
chr1,"(3446620, 3446631)",1,11,['MinDist5:90178'],['F5']
chr1,"(3447280, 3447292)",1,12,['MinDist5:89517'],['F5']
